Model,Total_Iterations,ODE,ODE_dim,net_size,lr,batch_size,stopping_loss,L1_avg,L2_avg,End_point_L1_avg,End_point_L2_avg
PINN base,135,Van der Pol Oscillator,2,"(2, 50)",0.01,512,0.001,0.03960907249669317,0.05767953037948207,0.009499200126326672,0.009676604339663964
PINN base,496,Van der Pol Oscillator,2,"(2, 50)",0.01,512,0.0001,0.013629201726388537,0.01724838800564984,0.011471367934548268,0.011482185416308096
PINN base,146,Van der Pol Oscillator,2,"(2, 50)",0.01,2048,0.001,0.04004464053956102,0.05787824110014035,0.00874147235432922,0.009245450029487732
PINN base,419,Van der Pol Oscillator,2,"(2, 50)",0.01,2048,0.0001,0.01342835863160621,0.01754511156144124,0.008774058842676492,0.008945246441855913
PINN base,336,Van der Pol Oscillator,2,"(2, 50)",0.001,512,0.001,0.04666734730790144,0.06288113549575183,0.01748938760312161,0.019804231697281554
PINN base,2404,Van der Pol Oscillator,2,"(2, 50)",0.001,512,0.0001,0.014141610744773582,0.01858188225663676,0.008133902707898029,0.008144548996110782
PINN base,537,Van der Pol Oscillator,2,"(2, 50)",0.001,2048,0.001,0.045067538916487376,0.05899270549142807,0.026920925775187822,0.027561713616969973
PINN base,2345,Van der Pol Oscillator,2,"(2, 50)",0.001,2048,0.0001,0.014506305064556073,0.01906633325929345,0.009907251173275324,0.01003090089997715
PINN base,190,Van der Pol Oscillator,2,"(3, 50)",0.01,512,0.001,0.03533359652537642,0.052624339784256506,0.003464318374001392,0.004290874012087601
PINN base,499,Van der Pol Oscillator,2,"(3, 50)",0.01,512,0.0001,0.013703602386741839,0.018559303925798673,0.0061265658080752825,0.006313764061370483
PINN base,107,Van der Pol Oscillator,2,"(3, 50)",0.01,2048,0.001,0.0379965326865053,0.057121152414333694,0.004851313745773427,0.005531164945587016
PINN base,577,Van der Pol Oscillator,2,"(3, 50)",0.01,2048,0.0001,0.014056215667262674,0.01832148052153719,0.00893332524748406,0.009011475098055435
PINN base,376,Van der Pol Oscillator,2,"(3, 50)",0.001,512,0.001,0.045997170260260435,0.060214902980236296,0.019312543743866296,0.022524604749090713
PINN base,3074,Van der Pol Oscillator,2,"(3, 50)",0.001,512,0.0001,0.014039687751893178,0.020160943662283916,0.006084173867123935,0.006208058089692518
PINN base,319,Van der Pol Oscillator,2,"(3, 50)",0.001,2048,0.001,0.04362103103161312,0.05735985687887651,0.02244109841586909,0.023747747603048496
PINN base,1460,Van der Pol Oscillator,2,"(3, 50)",0.001,2048,0.0001,0.013336002832071259,0.016985480706446808,0.008242430658840547,0.009164752800138315
PINN base,113,Van der Pol Oscillator,2,"(4, 50)",0.01,512,0.001,0.036545220494533,0.0506480405475636,0.01216431192139446,0.01418362982631145
PINN base,394,Van der Pol Oscillator,2,"(4, 50)",0.01,512,0.0001,0.013897552414401467,0.018201749996725573,0.0073514254257257905,0.008006604507429661
PINN base,116,Van der Pol Oscillator,2,"(4, 50)",0.01,2048,0.001,0.036410130775533595,0.053240161795272106,0.007505669751965411,0.007549116296908318
PINN base,375,Van der Pol Oscillator,2,"(4, 50)",0.01,2048,0.0001,0.015225206892519626,0.018126869938485668,0.013753462532180164,0.01419404937035584
PINN base,400,Van der Pol Oscillator,2,"(4, 50)",0.001,512,0.001,0.043223934479193364,0.05892234043109964,0.02364964033068976,0.024698892406654422
PINN base,1621,Van der Pol Oscillator,2,"(4, 50)",0.001,512,0.0001,0.012850183257220885,0.017534908227602005,0.0047574523182743874,0.006162237557794547
PINN base,375,Van der Pol Oscillator,2,"(4, 50)",0.001,2048,0.001,0.04403195670782756,0.057484999300478165,0.024679278904217096,0.02662843087536406
PINN base,1154,Van der Pol Oscillator,2,"(4, 50)",0.001,2048,0.0001,0.013902065826052062,0.018059174724269086,0.005844256402754196,0.0069815843394306085
PINN new architecture,667,Van der Pol Oscillator,2,"(2, 50)",0.01,512,0.001,0.04751717419792198,0.05997298423231836,0.032400133037584634,0.03274544712826213
PINN new architecture,3012,Van der Pol Oscillator,2,"(2, 50)",0.01,512,0.0001,0.014646862766352908,0.018591224860546495,0.00934949100931824,0.01272279334798662
PINN new architecture,579,Van der Pol Oscillator,2,"(2, 50)",0.01,2048,0.001,0.046151116973788806,0.058827276494061206,0.029029772566276403,0.02913095063197149
PINN new architecture,4864,Van der Pol Oscillator,2,"(2, 50)",0.01,2048,0.0001,0.014306728539306885,0.019071992516010838,0.006490992177107342,0.00653498256016762
PINN new architecture,2695,Van der Pol Oscillator,2,"(2, 50)",0.001,512,0.001,0.0481469112452197,0.06242498096786903,0.028318207660334917,0.028417712752699047
PINN new architecture,5000,Van der Pol Oscillator,2,"(2, 50)",0.001,512,0.0001,0.026338078141919276,0.033275935797778045,0.009333025226199039,0.011876261173909513
PINN new architecture,3682,Van der Pol Oscillator,2,"(2, 50)",0.001,2048,0.001,0.04578076066354342,0.05818845749099544,0.025118270838278146,0.025307443355360292
PINN new architecture,5000,Van der Pol Oscillator,2,"(2, 50)",0.001,2048,0.0001,0.024819435464491356,0.03125727887288779,0.010326287271284469,0.01178448120416911
PINN new architecture,684,Van der Pol Oscillator,2,"(3, 50)",0.01,512,0.001,0.045637148065621816,0.058403313315971796,0.029379079999047132,0.030798994136612936
PINN new architecture,2860,Van der Pol Oscillator,2,"(3, 50)",0.01,512,0.0001,0.014700024804639892,0.018552556668039184,0.01062218521704615,0.013931318755445763
PINN new architecture,779,Van der Pol Oscillator,2,"(3, 50)",0.01,2048,0.001,0.04537624447739083,0.05872963576339347,0.028117188201862188,0.02811779842931987
PINN new architecture,2286,Van der Pol Oscillator,2,"(3, 50)",0.01,2048,0.0001,0.013625136905822276,0.017328789468504704,0.01169334799459317,0.014499897894485489
PINN new architecture,2367,Van der Pol Oscillator,2,"(3, 50)",0.001,512,0.001,0.04862147303084931,0.06270484789649455,0.027258833819645258,0.02733605220131108
PINN new architecture,5000,Van der Pol Oscillator,2,"(3, 50)",0.001,512,0.0001,0.02897928455477713,0.0368531819512499,0.00856172622164429,0.01067250651165746
PINN new architecture,3647,Van der Pol Oscillator,2,"(3, 50)",0.001,2048,0.001,0.04616632847979525,0.05897468331470282,0.028059158423560472,0.028935594255683095
PINN new architecture,5000,Van der Pol Oscillator,2,"(3, 50)",0.001,2048,0.0001,0.023347525324197874,0.029898359965248582,0.006465713986956486,0.006708946124495868
PINN new architecture,496,Van der Pol Oscillator,2,"(4, 50)",0.01,512,0.001,0.049116663619222636,0.06310624073601794,0.027619394423085065,0.028995128710743855
PINN new architecture,3184,Van der Pol Oscillator,2,"(4, 50)",0.01,512,0.0001,0.015062025810819848,0.01912930138985077,0.011581402322632458,0.012939329283699336
PINN new architecture,594,Van der Pol Oscillator,2,"(4, 50)",0.01,2048,0.001,0.0454694647354304,0.05805069390627891,0.025136236982065054,0.025136385398771083
PINN new architecture,3090,Van der Pol Oscillator,2,"(4, 50)",0.01,2048,0.0001,0.014738459061141504,0.018609817987041692,0.011565862274152424,0.014921437194925604
PINN new architecture,2779,Van der Pol Oscillator,2,"(4, 50)",0.001,512,0.001,0.04781734224959617,0.062202351987123566,0.022195385718363138,0.022386552838665363
PINN new architecture,5000,Van der Pol Oscillator,2,"(4, 50)",0.001,512,0.0001,0.03220460369520656,0.04100044701877933,0.01587824518384299,0.017219594497820012
PINN new architecture,4116,Van der Pol Oscillator,2,"(4, 50)",0.001,2048,0.001,0.047478739386526164,0.060860562455968735,0.03083204472960791,0.03135279330766175
PINN new architecture,5000,Van der Pol Oscillator,2,"(4, 50)",0.001,2048,0.0001,0.024899378052969514,0.03204914398566527,0.007109332391821751,0.007353753560285475
PINN new architecture MLP,6250,Van der Pol Oscillator,2,"(2, 50)",0.01,512,0.001,0.008401187025960353,0.01006805660957793,0.007457880353910115,0.00906589252624498
PINN new architecture MLP,6250,Van der Pol Oscillator,2,"(2, 50)",0.01,512,0.0001,0.012028156635721194,0.014184639726271146,0.01064542264660538,0.011827169972759297
PINN new architecture MLP,6250,Van der Pol Oscillator,2,"(2, 50)",0.01,2048,0.001,0.10126019799553423,0.12847607044512202,0.08980919601919017,0.09056022251031286
PINN new architecture MLP,6250,Van der Pol Oscillator,2,"(2, 50)",0.01,2048,0.0001,0.06661771922346252,0.08217017013119307,0.10728508052824177,0.11905728814766849
PINN new architecture MLP,6250,Van der Pol Oscillator,2,"(2, 50)",0.001,512,0.001,0.013037801436050756,0.015138844582825349,0.013613206385058549,0.014260605541613633
PINN new architecture MLP,6250,Van der Pol Oscillator,2,"(2, 50)",0.001,512,0.0001,0.009098983132742402,0.010411645292843257,0.00877508712409177,0.008994844387406106
PINN new architecture MLP,6250,Van der Pol Oscillator,2,"(2, 50)",0.001,2048,0.001,0.019207934161810658,0.030965441117039638,0.004780425740760949,0.005127372188783872
PINN new architecture MLP,6250,Van der Pol Oscillator,2,"(2, 50)",0.001,2048,0.0001,0.02041125792263619,0.031062699222208175,0.008517753383499768,0.008899945236246563
PINN new architecture MLP,5832,Van der Pol Oscillator,2,"(3, 50)",0.01,512,0.001,0.006286154872085241,0.007528699463495971,0.006930347969925992,0.006930449126698773
PINN new architecture MLP,3600,Van der Pol Oscillator,2,"(3, 50)",0.01,512,0.0001,0.007088549043221757,0.00821950044920023,0.005563011443597463,0.007231974560832231
PINN new architecture MLP,6250,Van der Pol Oscillator,2,"(3, 50)",0.01,2048,0.001,0.04401138186330576,0.06239417975289806,0.01190272302349747,0.015600304034445985
PINN new architecture MLP,6250,Van der Pol Oscillator,2,"(3, 50)",0.01,2048,0.0001,0.12851030800057459,0.135917240937764,0.0965087133884605,0.09737138033473348
PINN new architecture MLP,6250,Van der Pol Oscillator,2,"(3, 50)",0.001,512,0.001,0.012804444453650456,0.01491081924782299,0.01192350224999824,0.011926692409303085
PINN new architecture MLP,6250,Van der Pol Oscillator,2,"(3, 50)",0.001,512,0.0001,0.014895085277788704,0.01756555349662738,0.011561108803731589,0.011945334476165264
PINN new architecture MLP,6250,Van der Pol Oscillator,2,"(3, 50)",0.001,2048,0.001,0.020835677399298258,0.03312388001278822,0.006457692935952183,0.007825245428836726
PINN new architecture MLP,6250,Van der Pol Oscillator,2,"(3, 50)",0.001,2048,0.0001,0.01375296165756025,0.019622610917231678,0.008302940572035698,0.008304682355149211
PINN new architecture MLP,5287,Van der Pol Oscillator,2,"(4, 50)",0.01,512,0.001,0.007014827163767931,0.008484641897111568,0.0048869815377360504,0.005122172735659829
PINN new architecture MLP,6250,Van der Pol Oscillator,2,"(4, 50)",0.01,512,0.0001,0.12342041311430485,0.1316886084972878,0.1367248925658101,0.14113026718949678
PINN new architecture MLP,6250,Van der Pol Oscillator,2,"(4, 50)",0.01,2048,0.001,0.022481241492512835,0.037400666738126156,0.01006261675635635,0.010608858012994023
PINN new architecture MLP,6250,Van der Pol Oscillator,2,"(4, 50)",0.01,2048,0.0001,0.025391596359759076,0.041967502515927145,0.003580752322279819,0.004068941604024352
PINN new architecture MLP,6250,Van der Pol Oscillator,2,"(4, 50)",0.001,512,0.001,0.011368046023496507,0.013121703770109572,0.009603723934275298,0.009621648546969565
